event_id,account_id,timestamp,model_used,token_count_input,token_count_output,content_category,cost_usd,endpoint,response_time_ms
f54d3448-2bc3-457e-914a-94342e7b656f,ACC-01666,2024-01-01 00:38:00,claude-haiku-4-5,219,636,policy_violation,0.010197,completions,395
98592b2d-fef8-4862-96ae-492ebbc0beb6,ACC-01647,2024-01-01 00:41:00,claude-opus-4-6,459,196,legitimate,0.004317,messages,2817
8113f9d8-3b76-4adb-b855-365fffa19c10,ACC-01818,2024-01-01 00:42:00,claude-haiku-4-5,782,182,legitimate,0.005076,messages,3342
76759b6e-f95a-4065-b834-a5f06ccb9d8f,ACC-00972,2024-01-01 00:42:00,claude-sonnet-4-6,138,213,borderline,0.003609,messages,2691
9a9cb91c-32c7-4c0b-bd59-20d9da28d839,ACC-01303,2024-01-01 00:42:00,claude-sonnet-4-6,1931,214,legitimate,0.009003,messages,7057
5da5e2f1-d13a-463b-89a5-3c4604a8d7e3,ACC-00234,2024-01-01 00:42:00,claude-opus-4-6,1920,31,borderline,0.006225,messages,1701
dabebe9f-ed36-4d3e-bd54-fd3addb61aeb,ACC-00548,2024-01-01 00:44:00,claude-sonnet-4-6,70,31,policy_violation,0.000675,completions,12643
56c57e62-ce60-477e-87e7-c3be563fcf6d,ACC-01257,2024-01-01 00:50:00,claude-sonnet-4-6,294,105,legitimate,0.002457,messages,3762
e77d70a0-317b-434c-a462-30bb9661b58b,ACC-01462,2024-01-01 00:52:00,claude-sonnet-4-6,50,589,borderline,0.008985,completions,7769
5524a74c-a36b-446e-8c96-aefc5f182104,ACC-00829,2024-01-01 00:54:00,claude-sonnet-4-6,670,139,legitimate,0.004095,completions,1298
ed291c47-d0e4-4ad1-abcf-6d89008cc524,ACC-01303,2024-01-01 00:55:00,claude-sonnet-4-6,1519,2390,legitimate,0.040407,messages,100
baf45852-e0c2-406e-a121-b1a5278f2e41,ACC-00471,2024-01-01 00:58:00,claude-sonnet-4-6,1372,85,legitimate,0.005391,completions,963
dcbe028e-1c74-4e8e-8e6b-3f127a178433,ACC-01802,2024-01-01 00:58:00,claude-sonnet-4-6,745,183,borderline,0.00498,completions,1217
566b946c-2327-4a05-bc51-2946da002b98,ACC-01208,2024-01-01 00:59:00,claude-sonnet-4-6,51,116,legitimate,0.001893,messages,1218
cc3f1090-1665-460e-b4e3-5a27e908a873,ACC-00497,2024-01-01 01:00:00,claude-haiku-4-5,1652,256,legitimate,0.008796,completions,715
c7461966-42b8-48cb-bd6d-5e0496385f48,ACC-00483,2024-01-01 01:00:00,claude-haiku-4-5,50,157,legitimate,0.002505,messages,4404
2a790c72-0457-4582-a338-31d21d251c0c,ACC-00161,2024-01-01 01:02:00,claude-haiku-4-5,177,448,legitimate,0.007251,messages,590
2324e227-8832-4238-a5f2-7d28d4f405ec,ACC-01048,2024-01-01 01:06:00,claude-opus-4-6,1026,372,legitimate,0.008658,messages,4185
c8a887d7-7e3b-4101-9704-b75c1160450f,ACC-00013,2024-01-01 01:06:00,claude-sonnet-4-6,1446,407,legitimate,0.010443,messages,274
b7c3e591-ce4e-46b0-87d4-50b19e864d5d,ACC-01067,2024-01-01 01:07:00,claude-haiku-4-5,195,172,legitimate,0.003165,messages,1113
2019aa06-3a7f-47ce-80b2-1175fa361dee,ACC-01739,2024-01-01 01:07:00,claude-sonnet-4-6,1081,516,borderline,0.010983,messages,272
14a81e32-b5c4-4373-8651-d3b3fb17454c,ACC-01690,2024-01-01 01:08:00,claude-opus-4-6,832,95,legitimate,0.003921,completions,173
96a83e9c-e2f4-4665-a082-61cd579f9658,ACC-01077,2024-01-01 01:08:00,claude-haiku-4-5,519,388,legitimate,0.007377,messages,639
bef90b47-b0f1-4d06-a3de-209e27d89790,ACC-00566,2024-01-01 01:09:00,claude-sonnet-4-6,353,722,legitimate,0.011889,messages,2293
d1dbc9c1-6120-422c-8d32-df8ef7242fb8,ACC-01302,2024-01-01 01:10:00,claude-sonnet-4-6,1883,1948,policy_violation,0.034869,messages,2035
2076639e-2d4a-4614-a319-3e1147fb956d,ACC-00247,2024-01-01 01:10:00,claude-opus-4-6,972,1354,policy_violation,0.023226,messages,100
bc311393-0875-4211-aa73-1a93c45ecdc9,ACC-01725,2024-01-01 01:10:00,claude-haiku-4-5,1699,20,legitimate,0.005397,messages,5326
baa8b704-95f2-4288-ae0f-d86c8d6531a4,ACC-01062,2024-01-01 01:11:00,claude-haiku-4-5,1883,194,borderline,0.008559,embeddings,4312
b30a61c4-3237-463e-a412-a43d7d368c95,ACC-01083,2024-01-01 01:11:00,claude-opus-4-6,67,559,legitimate,0.008586,completions,1589
35a739db-2a74-4df9-90d7-292c7a6f11f6,ACC-00981,2024-01-01 01:12:00,claude-sonnet-4-6,99,230,legitimate,0.003747,messages,497
cff4922a-ffca-43a6-b13f-d7cfd2398cc8,ACC-00892,2024-01-01 01:12:00,claude-haiku-4-5,561,299,policy_violation,0.006168,completions,1326
d1b276d7-90a6-4c6c-bb18-a4565d854403,ACC-00014,2024-01-01 01:13:00,claude-sonnet-4-6,1662,512,legitimate,0.012666,messages,3603
8ece50fd-3956-4e35-91e3-8923f6cfc1a9,ACC-01882,2024-01-01 01:16:00,claude-sonnet-4-6,2167,600,unknown,0.015501,completions,691
ce705e8c-fffc-4c9a-8894-a6a7eeb925c6,ACC-01691,2024-01-01 01:20:00,claude-haiku-4-5,1649,77,unknown,0.006102,messages,908
480c5f15-6c71-45dc-bbca-6b3f31cc438e,ACC-01645,2024-01-01 01:21:00,claude-sonnet-4-6,50,112,legitimate,0.00183,messages,3926
61ecc5e4-a5c5-450d-bc40-5a27c5898983,ACC-01363,2024-01-01 01:23:00,claude-sonnet-4-6,2353,126,borderline,0.008949,messages,333
6dab6eae-39d2-49a3-b161-ee5f2654efe7,ACC-01385,2024-01-01 01:26:00,claude-haiku-4-5,799,737,legitimate,0.013452,messages,1149
b8eecd30-de7d-42e8-b416-332c94947a32,ACC-01301,2024-01-01 01:27:00,claude-sonnet-4-6,218,649,policy_violation,0.010389,messages,1799
0797a693-aaa5-4ab1-9c6a-f1e1b657de05,ACC-00602,2024-01-01 01:27:00,claude-sonnet-4-6,2638,595,legitimate,0.016839,messages,357
5d2e25eb-2414-4526-a402-e1f8f2ae64ad,ACC-00201,2024-01-01 01:30:00,claude-haiku-4-5,213,946,borderline,0.014829,messages,1104
514fe4d5-123a-49c6-b2b9-4209a55971c1,ACC-00860,2024-01-01 01:35:00,claude-sonnet-4-6,132,200,legitimate,0.003396,completions,422
78a68d4f-54c7-4967-97fa-0edc4e872cdc,ACC-00872,2024-01-01 01:39:00,claude-opus-4-6,1667,654,legitimate,0.014811,messages,1170
803123d4-2805-465f-b12c-d36b75b29ae5,ACC-01906,2024-01-01 01:40:00,claude-sonnet-4-6,2179,373,borderline,0.012132,messages,2126
1c2b8d3e-2ad2-4002-bd13-3aa9e43a47d0,ACC-00587,2024-01-01 01:40:00,claude-sonnet-4-6,1679,105,policy_violation,0.006612,messages,1368
dc4ac8d8-e552-493e-95c4-2aed8da8aee5,ACC-01977,2024-01-01 01:40:00,claude-opus-4-6,3031,127,borderline,0.010998,messages,2089
ad9e948e-b8e5-4686-bb35-dac59c3823c4,ACC-01171,2024-01-01 01:41:00,claude-opus-4-6,498,744,legitimate,0.012654,messages,490
01b2fd4c-01bb-4c98-a563-0cd2c8162785,ACC-01591,2024-01-01 01:42:00,claude-opus-4-6,930,364,legitimate,0.00825,messages,287
be34f9cc-e090-4161-8266-cdf08ad6e459,ACC-01735,2024-01-01 01:42:00,claude-sonnet-4-6,546,183,legitimate,0.004383,messages,100
fb3cd8b6-99c4-43fc-a45b-ed361b227a86,ACC-00570,2024-01-01 01:43:00,claude-haiku-4-5,848,2321,legitimate,0.037359,completions,4175
ce67b40e-90a5-4ff7-9d99-06a22113cd4a,ACC-00101,2024-01-01 01:43:00,claude-opus-4-6,1873,403,legitimate,0.011664,completions,247
488eba77-1405-4ac8-b08e-9eace118f62a,ACC-00364,2024-01-01 01:44:00,claude-opus-4-6,4983,153,legitimate,0.017244,messages,1654
733cc6f4-444a-4200-ad73-68462cfcd75a,ACC-00256,2024-01-01 01:47:00,claude-sonnet-4-6,886,111,legitimate,0.004323,messages,170
9572263a-085f-42d7-b149-dfb68548bc3c,ACC-01272,2024-01-01 01:48:00,claude-haiku-4-5,1793,552,legitimate,0.013659,embeddings,714
08b79fac-0e1c-4774-a17d-a182f430689e,ACC-00819,2024-01-01 01:50:00,claude-sonnet-4-6,1329,467,policy_violation,0.010992,embeddings,325
ebb5d32a-aab8-475b-9448-18b1dd0f46e7,ACC-00817,2024-01-01 01:53:00,claude-sonnet-4-6,458,368,legitimate,0.006894,messages,2224
2966a613-03ef-40d9-a974-8d1e2908c5dc,ACC-01567,2024-01-01 01:55:00,claude-opus-4-6,1200,186,legitimate,0.00639,messages,100
395f5a2a-809a-4db7-9aee-31d5409f50b3,ACC-01790,2024-01-01 01:57:00,claude-opus-4-6,844,346,borderline,0.007722,messages,1354
81ed1437-48ff-44fc-b3ff-0d0c1a772103,ACC-01626,2024-01-01 01:59:00,claude-sonnet-4-6,549,135,legitimate,0.003672,messages,1222
10934bc8-775d-4e2a-bd5e-b9302f42fbbe,ACC-01601,2024-01-01 01:59:00,claude-sonnet-4-6,4080,49,borderline,0.012975,messages,2360
e7c8b25b-18f9-43b6-bbf4-53d7adaeba90,ACC-01067,2024-01-01 02:00:00,claude-opus-4-6,1320,219,legitimate,0.007245,messages,349
102b1e72-d2ab-453b-a894-ff17792e80a0,ACC-01926,2024-01-01 02:01:00,claude-haiku-4-5,1281,29,policy_violation,0.004278,messages,1136
c28a4dee-b7e5-4d10-a468-2aac3788a73b,ACC-00621,2024-01-01 02:02:00,claude-opus-4-6,639,20,legitimate,0.002217,completions,775
c573d878-d754-4197-8ba7-3f6a45b76b89,ACC-00224,2024-01-01 02:02:00,claude-sonnet-4-6,302,261,unknown,0.004821,messages,359
9e680952-9fcb-48b2-aa13-452d2dfb2503,ACC-00010,2024-01-01 02:03:00,claude-opus-4-6,1787,341,legitimate,0.010476,messages,747
a42eb2fb-628f-491b-99e9-ab5ef13eb775,ACC-01567,2024-01-01 02:06:00,claude-sonnet-4-6,4274,886,policy_violation,0.026112,messages,503
eb805ad6-c5e2-43d9-ab86-4c2fc0f6109f,ACC-01278,2024-01-01 02:06:00,claude-opus-4-6,522,220,legitimate,0.004866,messages,100
33ecb01e-ac97-4dc9-a98b-f3a69ed138a3,ACC-00182,2024-01-01 02:06:00,claude-haiku-4-5,537,590,policy_violation,0.010461,completions,3993
acff6341-3002-4dda-a054-4e6071a564f6,ACC-01377,2024-01-01 02:07:00,claude-sonnet-4-6,2322,320,legitimate,0.011766,messages,954
df9c77a6-b2c7-45e1-8d56-a196b51e8633,ACC-00357,2024-01-01 02:12:00,claude-sonnet-4-6,50,383,legitimate,0.005895,completions,4560
04683ba6-bc50-430c-97fb-0fd24d6f6156,ACC-01204,2024-01-01 02:12:00,claude-haiku-4-5,1130,224,borderline,0.00675,embeddings,564
