pipeline_id,run_id,run_timestamp,status,psi_score,schema_drift_detected,failure_class,healing_cycles,rows_processed,duration_seconds
pipeline_001,pipeline_001_run_00046,2024-02-03 11:28:00,success,0.012,False,none,0,28012,126
pipeline_001,pipeline_001_run_00047,2024-02-04 04:56:00,success,0.0792,False,none,0,31961,80
pipeline_001,pipeline_001_run_00048,2024-02-04 22:24:00,success,0.0681,False,none,0,16515,166
pipeline_001,pipeline_001_run_00049,2024-02-05 15:52:00,success,0.038,False,none,0,20892,210
pipeline_001,pipeline_001_run_00050,2024-02-06 09:20:00,success,0.053,False,none,0,277977,140
pipeline_001,pipeline_001_run_00051,2024-02-07 02:48:00,success,0.0497,False,none,0,61372,122
pipeline_001,pipeline_001_run_00052,2024-02-07 20:16:00,success,0.0518,False,none,0,47736,129
pipeline_001,pipeline_001_run_00053,2024-02-08 13:44:00,success,0.0693,False,none,0,34912,156
pipeline_001,pipeline_001_run_00054,2024-02-09 07:12:00,success,0.0709,False,none,0,97798,56
pipeline_001,pipeline_001_run_00055,2024-02-10 00:40:00,success,0.0732,False,none,0,131284,120
pipeline_001,pipeline_001_run_00056,2024-02-10 18:08:00,success,0.067,False,none,0,17986,70
pipeline_001,pipeline_001_run_00057,2024-02-11 11:36:00,success,0.0501,False,none,0,28097,96
pipeline_001,pipeline_001_run_00058,2024-02-12 05:04:00,success,0.0323,False,none,0,33417,128
pipeline_001,pipeline_001_run_00059,2024-02-12 22:32:00,success,0.0436,False,none,0,4704,113
pipeline_001,pipeline_001_run_00060,2024-02-13 16:00:00,success,0.0757,False,none,0,152924,124
pipeline_001,pipeline_001_run_00061,2024-02-14 09:28:00,success,0.0526,False,none,0,23028,145
pipeline_001,pipeline_001_run_00062,2024-02-15 02:56:00,success,0.0424,False,none,0,4565,116
pipeline_001,pipeline_001_run_00063,2024-02-15 20:24:00,success,0.0186,False,none,0,248504,155
pipeline_001,pipeline_001_run_00064,2024-02-16 13:52:00,success,0.0512,False,none,0,133862,139
pipeline_001,pipeline_001_run_00065,2024-02-17 07:20:00,success,0.0598,False,none,0,36364,128
pipeline_001,pipeline_001_run_00066,2024-02-18 00:48:00,success,0.078,False,none,0,1355,96
pipeline_001,pipeline_001_run_00067,2024-02-18 18:16:00,success,0.0747,False,none,0,108833,104
pipeline_001,pipeline_001_run_00068,2024-02-19 11:44:00,success,0.0362,False,none,0,98074,165
pipeline_001,pipeline_001_run_00069,2024-02-20 05:12:00,success,0.0193,False,none,0,13900,112
pipeline_001,pipeline_001_run_00070,2024-02-20 22:40:00,success,0.0799,False,none,0,20206,138
pipeline_001,pipeline_001_run_00071,2024-02-21 16:08:00,success,0.0606,False,none,0,45903,128
pipeline_001,pipeline_001_run_00072,2024-02-22 09:36:00,success,0.0188,False,none,0,9918,121
pipeline_001,pipeline_001_run_00073,2024-02-23 03:04:00,success,0.0745,False,none,0,1928,138
pipeline_001,pipeline_001_run_00074,2024-02-23 20:32:00,success,0.0684,False,none,0,40938,101
pipeline_001,pipeline_001_run_00075,2024-02-24 14:00:00,success,0.0357,False,none,0,253192,166
pipeline_001,pipeline_001_run_00076,2024-02-25 07:28:00,success,0.066,False,none,0,9074,113
pipeline_001,pipeline_001_run_00077,2024-02-26 00:56:00,success,0.0408,False,none,0,54517,115
pipeline_001,pipeline_001_run_00078,2024-02-26 18:24:00,success,0.0439,False,none,0,17277,127
pipeline_001,pipeline_001_run_00079,2024-02-27 11:52:00,success,0.0578,False,none,0,83290,85
pipeline_001,pipeline_001_run_00080,2024-02-28 05:20:00,success,0.0249,False,none,0,9798,145
pipeline_001,pipeline_001_run_00081,2024-02-28 22:48:00,success,0.027,False,none,0,12743,131
pipeline_001,pipeline_001_run_00082,2024-02-29 16:16:00,success,0.0305,False,none,0,6862,160
pipeline_001,pipeline_001_run_00083,2024-03-01 09:44:00,success,0.065,False,none,0,39699,92
pipeline_001,pipeline_001_run_00084,2024-03-02 03:12:00,success,0.0522,False,none,0,15347,133
pipeline_001,pipeline_001_run_00085,2024-03-02 20:40:00,success,0.0759,False,none,0,213030,140
pipeline_001,pipeline_001_run_00086,2024-03-03 14:08:00,success,0.0564,False,none,0,1696,119
pipeline_001,pipeline_001_run_00087,2024-03-04 07:36:00,success,0.0425,False,none,0,14051,104
pipeline_001,pipeline_001_run_00088,2024-03-05 01:04:00,success,0.0452,False,none,0,17239,154
pipeline_001,pipeline_001_run_00089,2024-03-05 18:32:00,success,0.0464,False,none,0,5000,97
pipeline_001,pipeline_001_run_00090,2024-03-06 12:00:00,success,0.0753,False,none,0,52396,109
pipeline_001,pipeline_001_run_00091,2024-03-07 05:28:00,success,0.0432,False,none,0,73951,128
pipeline_001,pipeline_001_run_00092,2024-03-07 22:56:00,success,0.0684,False,none,0,20586,133
pipeline_001,pipeline_001_run_00093,2024-03-08 16:24:00,success,0.0315,False,none,0,99885,99
pipeline_001,pipeline_001_run_00094,2024-03-09 09:52:00,success,0.0144,False,none,0,51127,126
pipeline_001,pipeline_001_run_00095,2024-03-10 03:20:00,success,0.0736,False,none,0,43160,116
pipeline_001,pipeline_001_run_00096,2024-03-10 20:48:00,success,0.0677,False,none,0,28131,123
pipeline_001,pipeline_001_run_00097,2024-03-11 14:16:00,success,0.0675,False,none,0,4612,168
pipeline_001,pipeline_001_run_00098,2024-03-12 07:44:00,success,0.0462,False,none,0,21524,123
pipeline_001,pipeline_001_run_00099,2024-03-13 01:12:00,success,0.0177,False,none,0,25034,99
