period,attack_vector,region,direct_loss_usd,indirect_cost_usd,regulatory_penalty_usd,legal_liability_usd,remediation_cost_usd,compute_overhead_usd,total_impact_usd
2024-06,data_poisoning,EU,25697.76,6582.66,0.0,3108.99,5438.13,1921.98,42749.52
2024-06,total,ALL,7523337.33,1814155.19,481150.66,660467.73,1272160.33,378619.31,12129890.55
2024-07,api_abuse,US,383374.25,114541.45,0.0,27833.06,68441.26,30580.91,624770.93
2024-07,api_abuse,EU,256185.29,69841.24,0.0,36432.75,24868.31,24594.46,411922.05
2024-07,safety_bypass,US,463058.1,101422.63,0.0,24658.1,104029.48,34955.88,728124.19
2024-07,safety_bypass,EU,1775719.11,215682.65,0.0,228732.01,409691.59,70540.47,2700365.83
2024-07,platform_fraud,US,766206.25,267728.09,0.0,84257.97,143735.2,63639.06,1325566.57
2024-07,platform_fraud,EU,114343.98,29045.11,0.0,10937.16,27577.72,11167.6,193071.57
2024-07,downstream_harm,US,58364.85,17698.41,0.0,3014.02,11621.7,4098.74,94797.72
2024-07,downstream_harm,EU,207866.11,39031.02,0.0,25267.04,49608.91,14632.25,336405.33
2024-07,data_poisoning,US,137730.03,51622.2,0.0,20316.19,23171.89,8359.84,241200.15
2024-07,data_poisoning,EU,15536.48,5701.47,0.0,2144.89,1402.31,495.93,25281.08
2024-07,total,ALL,4178384.45,912314.27,0.0,463593.19,864148.37,263065.14,6681505.42
2024-08,api_abuse,US,333259.99,65084.37,0.0,50978.06,76914.93,18935.82,545173.17
2024-08,api_abuse,EU,90118.75,31303.4,0.0,10729.49,18877.06,4093.42,155122.12
2024-08,safety_bypass,US,3833091.89,1232093.96,0.0,410305.09,739447.75,131124.92,6346063.61
2024-08,safety_bypass,EU,1202981.81,397799.37,0.0,163641.52,259305.62,36917.14,2060645.46
2024-08,platform_fraud,US,224565.23,30488.23,0.0,19028.33,23645.29,8413.04,306140.12
2024-08,platform_fraud,EU,590890.36,130111.73,0.0,70390.78,124471.32,50411.87,966276.06
2024-08,downstream_harm,US,157070.14,26844.83,0.0,12870.18,14576.36,8838.73,220200.24
2024-08,downstream_harm,EU,136825.69,42009.06,0.0,9954.18,28685.41,5662.89,223137.23
2024-08,data_poisoning,US,142026.06,38483.12,0.0,16785.62,27309.21,10288.52,234892.53
2024-08,data_poisoning,EU,91451.68,25560.73,0.0,16067.09,17819.39,7083.64,157982.53
2024-08,total,ALL,6802281.6,2019778.8,0.0,780750.34,1331052.34,281769.99,11215633.07
2024-09,api_abuse,US,207018.0,38765.34,0.0,26960.03,23248.22,14295.47,310287.06
