incident_id,account_id,detected_date,attack_vector,severity,financial_impact_usd,detection_method,resolved,cluster_id
INC-00071,ACC-00008,2024-05-19 00:00:00,api_abuse,low,1380.3,automated_threshold,True,cluster_a
INC-00072,ACC-00008,2024-05-20 00:00:00,api_abuse,high,67594.52,automated_ml,True,cluster_a
INC-00073,ACC-00008,2024-08-28 00:00:00,api_abuse,medium,7142.82,automated_ml,True,cluster_a
INC-00074,ACC-00009,2024-02-13 00:00:00,safety_bypass,medium,10822.35,automated_ml,True,cluster_b
INC-00075,ACC-00009,2024-02-04 00:00:00,safety_bypass,high,58559.97,human_review,False,cluster_b
INC-00076,ACC-00009,2024-03-01 00:00:00,safety_bypass,high,47306.32,automated_ml,False,cluster_b
INC-00077,ACC-00009,2024-05-03 00:00:00,safety_bypass,high,45824.63,automated_threshold,True,cluster_b
INC-00078,ACC-00009,2024-05-15 00:00:00,safety_bypass,high,33627.5,automated_threshold,True,cluster_b
INC-00079,ACC-00009,2024-07-30 00:00:00,safety_bypass,medium,13611.07,automated_ml,False,cluster_b
INC-00080,ACC-00009,2024-07-29 00:00:00,safety_bypass,high,34146.16,automated_ml,True,cluster_b
INC-00081,ACC-00009,2024-08-22 00:00:00,safety_bypass,high,50870.42,automated_threshold,True,cluster_b
INC-00082,ACC-00009,2024-09-05 00:00:00,safety_bypass,critical,85621.57,automated_threshold,False,cluster_b
INC-00083,ACC-00009,2024-08-28 00:00:00,safety_bypass,high,43457.1,human_review,True,cluster_b
INC-00084,ACC-00009,2024-10-03 00:00:00,safety_bypass,high,56171.1,human_review,True,cluster_b
INC-00085,ACC-00009,2024-11-19 00:00:00,safety_bypass,critical,145824.81,automated_threshold,False,cluster_b
INC-00086,ACC-00009,2024-11-29 00:00:00,safety_bypass,high,78290.76,human_review,True,cluster_b
INC-00087,ACC-00009,2024-11-28 00:00:00,safety_bypass,critical,463539.51,automated_threshold,False,cluster_b
INC-00088,ACC-00009,2024-12-05 00:00:00,safety_bypass,medium,8915.61,automated_threshold,True,cluster_b
INC-00089,ACC-00009,2025-01-04 00:00:00,safety_bypass,high,58692.99,automated_ml,True,cluster_b
INC-00090,ACC-00009,2025-03-17 00:00:00,safety_bypass,high,55712.29,automated_ml,False,cluster_b
INC-00091,ACC-00009,2025-03-19 00:00:00,safety_bypass,high,79038.5,automated_ml,True,cluster_b
INC-00092,ACC-00009,2025-02-27 00:00:00,safety_bypass,high,58616.15,human_review,True,cluster_b
INC-00093,ACC-00009,2025-02-28 00:00:00,safety_bypass,high,72677.67,external_report,True,cluster_b
INC-00094,ACC-00009,2025-04-19 00:00:00,safety_bypass,high,17876.35,automated_ml,False,cluster_b
INC-00095,ACC-00009,2025-04-09 00:00:00,safety_bypass,critical,412041.99,automated_threshold,True,cluster_b
INC-00096,ACC-00009,2025-04-17 00:00:00,safety_bypass,critical,336378.08,external_report,True,cluster_b
INC-00097,ACC-00009,2025-04-27 00:00:00,safety_bypass,medium,5513.18,human_review,False,cluster_b
INC-00098,ACC-00009,2025-05-02 00:00:00,safety_bypass,high,79236.66,automated_ml,False,cluster_b
INC-00099,ACC-00009,2025-05-17 00:00:00,safety_bypass,critical,483606.54,automated_threshold,True,cluster_b
INC-00100,ACC-00009,2025-05-19 00:00:00,safety_bypass,medium,14710.12,automated_ml,True,cluster_b
