account_id,created_date,tier,region,is_flagged,flag_reason,total_api_calls,total_spend_usd,account_status,cluster_id
ACC-00043,2023-03-25 00:00:00,free,APAC,False,,184,0.03,active,
ACC-00044,2024-03-10 00:00:00,pro,US,False,,19290,2.88,active,
ACC-00045,2022-07-23 00:00:00,free,US,False,,552,0.09,active,
ACC-00046,2023-02-19 00:00:00,free,EU,False,,22,0.0,active,
ACC-00047,2023-05-03 00:00:00,free,APAC,False,,1529,0.21,active,
ACC-00048,2022-08-25 00:00:00,pro,LATAM,False,,1824,0.24,active,
ACC-00049,2022-03-04 00:00:00,free,US,False,,929,0.16,active,
ACC-00050,2022-10-12 00:00:00,free,EU,False,,146,0.02,active,
ACC-00051,2023-01-06 00:00:00,enterprise,US,False,,20119,2.77,active,
ACC-00052,2022-06-21 00:00:00,free,EU,False,,2,0.0,active,
ACC-00053,2023-05-26 00:00:00,free,US,False,,1088,0.13,active,
ACC-00054,2024-01-10 00:00:00,free,EU,False,,84,0.02,active,
ACC-00055,2023-11-11 00:00:00,enterprise,US,True,platform_fraud,3397,0.51,suspended,
ACC-00056,2023-07-17 00:00:00,pro,US,False,,3789,0.58,active,
ACC-00057,2022-08-27 00:00:00,pro,LATAM,False,,1950,0.33,active,
ACC-00058,2023-08-31 00:00:00,free,US,True,data_poisoning,42,0.01,suspended,
ACC-00059,2024-04-04 00:00:00,trial,EU,False,,19,0.0,active,
ACC-00060,2022-02-12 00:00:00,pro,EU,False,,2860,0.47,active,
ACC-00061,2022-03-25 00:00:00,pro,US,False,,2091,0.26,active,
ACC-00062,2023-12-13 00:00:00,free,LATAM,False,,8,0.0,active,
ACC-00063,2024-02-22 00:00:00,free,EU,False,,24,0.0,active,
ACC-00064,2023-08-27 00:00:00,free,US,False,,347,0.05,active,
ACC-00065,2023-12-08 00:00:00,pro,LATAM,False,,10094,1.6,active,
ACC-00066,2023-07-07 00:00:00,pro,EU,False,,8335,1.41,active,
ACC-00067,2022-11-29 00:00:00,enterprise,EU,False,,8003,1.06,active,
ACC-00068,2023-08-25 00:00:00,free,EU,False,,533,0.08,active,
ACC-00069,2024-04-06 00:00:00,free,US,False,,590,0.08,active,
ACC-00070,2023-05-17 00:00:00,free,EU,False,,397,0.06,active,
ACC-00071,2024-02-04 00:00:00,pro,APAC,False,,1438,0.22,active,
ACC-00072,2022-11-30 00:00:00,pro,US,False,,6733,0.9,active,
ACC-00073,2022-02-17 00:00:00,pro,EU,False,,1766,0.22,active,
ACC-00074,2023-03-02 00:00:00,trial,APAC,False,,628,0.1,active,
ACC-00075,2022-07-07 00:00:00,free,US,False,,461,0.07,active,
ACC-00076,2024-05-28 00:00:00,trial,APAC,False,,534,0.1,active,
ACC-00077,2023-08-30 00:00:00,free,APAC,False,,611,0.11,active,
ACC-00078,2022-12-16 00:00:00,enterprise,APAC,False,,13882,1.85,active,
ACC-00079,2024-02-01 00:00:00,enterprise,US,False,,6639,1.03,active,
ACC-00080,2023-09-17 00:00:00,enterprise,US,False,,22405,3.16,active,
ACC-00081,2023-01-19 00:00:00,free,US,False,,142,0.02,active,
ACC-00082,2023-12-27 00:00:00,free,EU,False,,675,0.11,active,
ACC-00083,2022-03-15 00:00:00,pro,EU,False,,2555,0.38,active,
ACC-00084,2022-10-12 00:00:00,pro,EU,False,,19061,2.92,active,
ACC-00085,2022-03-08 00:00:00,free,LATAM,False,,145,0.02,active,
ACC-00086,2022-12-05 00:00:00,free,US,False,,2740,0.44,active,
ACC-00087,2022-04-05 00:00:00,pro,LATAM,False,,298,0.04,active,
ACC-00088,2022-08-23 00:00:00,free,US,False,,245,0.03,active,
ACC-00089,2022-12-29 00:00:00,free,US,False,,16,0.0,active,
ACC-00090,2023-01-03 00:00:00,pro,US,False,,396,0.07,active,
ACC-00091,2022-05-26 00:00:00,pro,LATAM,False,,10464,1.6,active,
ACC-00092,2023-10-24 00:00:00,free,APAC,False,,2109,0.3,active,
ACC-00093,2022-04-29 00:00:00,free,APAC,False,,32,0.0,active,
ACC-00094,2024-03-16 00:00:00,free,US,False,,382,0.06,active,
ACC-00095,2022-06-30 00:00:00,pro,APAC,False,,2372,0.32,active,
ACC-00096,2022-02-11 00:00:00,free,US,False,,1052,0.17,active,
ACC-00097,2022-09-29 00:00:00,free,US,False,,323,0.05,active,
ACC-00098,2023-02-28 00:00:00,enterprise,LATAM,False,,39233,6.1,active,
ACC-00099,2023-06-29 00:00:00,free,APAC,False,,817,0.14,active,
ACC-00100,2023-10-03 00:00:00,trial,EU,False,,161,0.02,active,
